cities,population
Springfield,"114,868"

Temecula,"114,327"

West Jordan,"113,905"

Costa Mesa,"113,825"

Miami Gardens,"113,750"

Cambridge,"113,630"

College Station,"113,564"

Murrieta,"113,326"

Downey,"113,092"

Peoria,"112,883"

Westminster,"112,812"

Elgin,"112,456"

Antioch,"111,674"

Palm Bay,"111,657"

High Point,"111,513"

Lowell,"111,346"

Manchester,"111,196"

Pueblo,"111,127"

Gresham,"111,053"

North Charleston,"110,861"

San Buenaventura (Ventura),"110,790"

Inglewood,"110,598"

Pompano Beach,"110,473"

Centennial,"110,250"

West Palm Beach,"110,222"

Everett,"110,079"

Richmond,"110,040"

Clovis,"109,691"

Billings,"109,642"

Waterbury,"108,629"

Broken Arrow,"108,303"

Lakeland,"108,054"

West Covina,"107,598"

Boulder,"107,125"

Daly City,"107,074"

Santa Maria,"107,014"

Hillsboro,"106,894"

Sandy Springs,"106,739"

Norwalk,"106,084"

Jurupa Valley,"106,028"

Lewisville,"106,021"

Greeley,"105,448"

Davie,"105,149"

Green Bay,"105,116"

Tyler,"104,991"

League City,"104,903"

Burbank,"104,834"

San Mateo,"104,748"

Wichita Falls,"104,747"

El Cajon,"103,894"

Rialto,"103,562"

Davenport,"102,320"

South Bend,"102,245"

Las Cruces,"101,712"

Vista,"101,568"

Renton,"101,379"

Sparks,"100,888"

Allen,"100,685"

Tuscaloosa,"100,287"

San Angelo,"100,119"

Vacaville,"100,032"

Meridian,"99,926"

Kenosha,"99,877"

Roanoke,"99,837"

Albany,"98,251"

Boca Raton,"98,150"

Spokane Valley,"97,847"

Orem,"97,839"

Compton,"97,612"

Beaverton,"97,514"

Erie,"97,369"

Lee's Summit,"97,290"

Lawrence,"96,892"

Federal Way,"96,690"

Flint,"96,448"

San Marcos,"96,198"

Rio Rancho,"96,159"

Sandy,"96,145"

Mission Viejo,"96,016"

Brockton,"95,672"

Yuma,"95,502"

South Gate,"95,430"

New Bedford,"95,120"

Hesperia,"94,859"

Roswell,"94,786"

Portsmouth,"94,572"

Bend,"94,520"

Dearborn,"94,491"

Longmont,"94,341"

Sunrise,"94,323"

Quincy,"94,166"

Livonia,"94,105"

Lynn,"94,063"

Plantation,"93,909"

Lawton,"93,714"

Yakima,"93,667"

Nampa,"93,590"

Chico,"93,293"

Carson,"92,735"

Miami Beach,"92,307"

Santa Monica,"92,306"

Carmel,"92,198"

Greenville,"92,156"

Santa Barbara,"92,101"

Concord,"92,067"

Edmond,"91,950"

Asheville,"91,902"

Fishers,"91,832"

Redding,"91,794"

Westminster,"91,564"

Tracy,"90,889"

Deltona,"90,746"

Menifee,"90,595"

San Leandro,"90,553"

Livermore,"90,295"

Edinburg,"90,280"

Suffolk,"90,237"

Chino,"89,797"

Indio,"89,793"

Fall River,"89,420"

Bellingham,"89,045"

Norwalk,"89,005"

Newton,"88,994"

Kirkland,"88,630"

Sugar Land,"88,485"

Reading,"88,423"

Nashua,"88,341"

Fort Smith,"88,037"

Citrus Heights,"87,931"

Hawthorne,"87,854"

Waukegan,"87,729"

O'Fallon,"87,597"

Champaign,"87,432"

Ogden,"87,031"

Whittier,"86,838"

Redwood City,"86,685"

Mount Pleasant,"86,668"

Clifton,"86,607"

Palm Coast,"86,516"

Newport Beach,"86,160"

Duluth,"86,066"

Bloomington,"85,866"

Alhambra,"85,396"

Fayetteville,"85,257"

Danbury,"85,246"

Hemet,"85,160"

Bloomington,"85,071"

Trenton,"84,964"

Hoover,"84,920"

Largo,"84,754"

Mission,"84,424"

St. George,"84,405"

Conroe,"84,378"

Johns Creek,"84,350"

Lake Forest,"84,293"

Avondale,"84,025"

Bryan,"84,021"

Troy,"83,813"

Santa Fe,"83,776"

Merced,"83,081"

Buena Park,"83,015"

Pleasanton,"83,007"

Cicero,"82,552"

Sioux City,"82,514"

Melbourne,"82,011"

Medford,"81,780"

Westland,"81,747"

Kennewick,"81,607"

Longview,"81,522"

Mountain View,"81,438"

Somerville,"81,360"

Cranston,"81,202"

Farmington Hills,"81,050"

Lynchburg,"80,995"

Lakewood,"80,967"

Warwick,"80,871"

Auburn,"80,776"

Brooklyn Park,"80,581"

Deerfield Beach,"80,571"

Tustin,"80,498"

Chino Hills,"80,374"

Lawrence,"80,162"

New Rochelle,"79,946"

Fort Myers,"79,943"

Goodyear,"79,858"

Napa,"79,774"

Springdale,"79,599"

Pharr,"79,487"

Manteca,"79,268"

Alameda,"79,177"

Parma,"79,167"

New Braunfels,"79,152"

Plymouth,"78,395"

Franklin,"78,321"

Milpitas,"78,106"

Folsom,"78,038"

Bloomington,"77,934"

Perris,"77,879"

Bellflower,"77,772"

Boynton Beach,"77,702"

Scranton,"77,605"

Racine,"77,542"

Lake Charles,"77,117"

Upland,"76,999"

Baytown,"76,804"

Loveland,"76,701"

Layton,"76,691"

Flower Mound,"76,681"

Hammond,"76,618"

Gastonia,"76,593"

St. Joseph,"76,442"

Baldwin Park,"76,402"

Gary,"76,008"

Wyoming,"75,938"

San Ramon,"75,931"

Jonesboro,"75,866"

Kalamazoo,"75,807"

Iowa City,"75,798"

Bethlehem,"75,707"

Cedar Park,"75,704"

Arlington Heights,"75,634"

Union City,"75,343"

Bolingbrook,"75,201"

Warner Robins,"74,854"

Evanston,"74,756"

Appleton,"74,653"

Camden,"74,532"

Temple,"74,503"

Missouri City,"74,497"

Rapid City,"74,421"

Rochester Hills,"74,205"

Schaumburg,"74,184"

Rancho Cordova,"73,563"

Turlock,"73,556"

Missoula,"73,340"

